,4,10
0,reorder,64x3x7x7
1,convolution,mb1_ic3oc64_ih224oh112kh7sh2dh0ph3_iw224ow112kw7sw2dw0pw3
2,reorder,1x64x112x112
3,reorder,1x64x56x56
4,reorder,128x64x1x1
5,convolution,mb1_ic64oc128_ih56oh56kh1sh1dh0ph0_iw56ow56kw1sw1dw0pw0
6,reorder,1x128x56x56
7,reorder,32x128x3x3
8,convolution,mb1_ic128oc32_ih56oh56kh3sh1dh0ph1_iw56ow56kw3sw1dw0pw1
9,reorder,1x32x56x56
10,reorder,1x96x56x56
11,reorder,128x96x1x1
12,convolution,mb1_ic96oc128_ih56oh56kh1sh1dh0ph0_iw56ow56kw1sw1dw0pw0
13,reorder,128x128x1x1
14,convolution,mb1_ic128oc128_ih56oh56kh1sh1dh0ph0_iw56ow56kw1sw1dw0pw0
15,reorder,1x160x56x56
16,reorder,128x160x1x1
17,convolution,mb1_ic160oc128_ih56oh56kh1sh1dh0ph0_iw56ow56kw1sw1dw0pw0
18,reorder,1x192x56x56
19,reorder,128x192x1x1
20,convolution,mb1_ic192oc128_ih56oh56kh1sh1dh0ph0_iw56ow56kw1sw1dw0pw0
21,reorder,1x224x56x56
22,reorder,128x224x1x1
23,convolution,mb1_ic224oc128_ih56oh56kh1sh1dh0ph0_iw56ow56kw1sw1dw0pw0
24,reorder,1x256x56x56
25,reorder,128x256x1x1
26,convolution,mb1_ic256oc128_ih56oh56kh1sh1dh0ph0_iw56ow56kw1sw1dw0pw0
27,reorder,1x128x28x28
28,convolution,mb1_ic128oc128_ih28oh28kh1sh1dh0ph0_iw28ow28kw1sw1dw0pw0
29,convolution,mb1_ic128oc32_ih28oh28kh3sh1dh0ph1_iw28ow28kw3sw1dw0pw1
30,reorder,1x32x28x28
31,reorder,1x160x28x28
32,convolution,mb1_ic160oc128_ih28oh28kh1sh1dh0ph0_iw28ow28kw1sw1dw0pw0
33,reorder,1x192x28x28
34,convolution,mb1_ic192oc128_ih28oh28kh1sh1dh0ph0_iw28ow28kw1sw1dw0pw0
35,reorder,1x224x28x28
36,convolution,mb1_ic224oc128_ih28oh28kh1sh1dh0ph0_iw28ow28kw1sw1dw0pw0
37,reorder,1x256x28x28
38,convolution,mb1_ic256oc128_ih28oh28kh1sh1dh0ph0_iw28ow28kw1sw1dw0pw0
39,reorder,1x288x28x28
40,reorder,128x288x1x1
41,convolution,mb1_ic288oc128_ih28oh28kh1sh1dh0ph0_iw28ow28kw1sw1dw0pw0
42,reorder,1x320x28x28
43,reorder,128x320x1x1
44,convolution,mb1_ic320oc128_ih28oh28kh1sh1dh0ph0_iw28ow28kw1sw1dw0pw0
45,reorder,1x352x28x28
46,reorder,128x352x1x1
47,convolution,mb1_ic352oc128_ih28oh28kh1sh1dh0ph0_iw28ow28kw1sw1dw0pw0
48,reorder,1x384x28x28
49,reorder,128x384x1x1
50,convolution,mb1_ic384oc128_ih28oh28kh1sh1dh0ph0_iw28ow28kw1sw1dw0pw0
51,reorder,1x416x28x28
52,reorder,128x416x1x1
53,convolution,mb1_ic416oc128_ih28oh28kh1sh1dh0ph0_iw28ow28kw1sw1dw0pw0
54,reorder,1x448x28x28
55,reorder,128x448x1x1
56,convolution,mb1_ic448oc128_ih28oh28kh1sh1dh0ph0_iw28ow28kw1sw1dw0pw0
57,reorder,1x480x28x28
58,reorder,128x480x1x1
59,convolution,mb1_ic480oc128_ih28oh28kh1sh1dh0ph0_iw28ow28kw1sw1dw0pw0
60,reorder,1x512x28x28
61,reorder,256x512x1x1
62,convolution,mb1_ic512oc256_ih28oh28kh1sh1dh0ph0_iw28ow28kw1sw1dw0pw0
63,reorder,1x256x14x14
64,convolution,mb1_ic256oc128_ih14oh14kh1sh1dh0ph0_iw14ow14kw1sw1dw0pw0
65,reorder,1x128x14x14
66,convolution,mb1_ic128oc32_ih14oh14kh3sh1dh0ph1_iw14ow14kw3sw1dw0pw1
67,reorder,1x32x14x14
68,reorder,1x288x14x14
69,convolution,mb1_ic288oc128_ih14oh14kh1sh1dh0ph0_iw14ow14kw1sw1dw0pw0
70,reorder,1x320x14x14
71,convolution,mb1_ic320oc128_ih14oh14kh1sh1dh0ph0_iw14ow14kw1sw1dw0pw0
72,reorder,1x352x14x14
73,convolution,mb1_ic352oc128_ih14oh14kh1sh1dh0ph0_iw14ow14kw1sw1dw0pw0
74,reorder,1x384x14x14
75,convolution,mb1_ic384oc128_ih14oh14kh1sh1dh0ph0_iw14ow14kw1sw1dw0pw0
76,reorder,1x416x14x14
77,convolution,mb1_ic416oc128_ih14oh14kh1sh1dh0ph0_iw14ow14kw1sw1dw0pw0
78,reorder,1x448x14x14
79,convolution,mb1_ic448oc128_ih14oh14kh1sh1dh0ph0_iw14ow14kw1sw1dw0pw0
80,reorder,1x480x14x14
81,convolution,mb1_ic480oc128_ih14oh14kh1sh1dh0ph0_iw14ow14kw1sw1dw0pw0
82,reorder,1x512x14x14
83,reorder,128x512x1x1
84,convolution,mb1_ic512oc128_ih14oh14kh1sh1dh0ph0_iw14ow14kw1sw1dw0pw0
85,reorder,1x544x14x14
86,reorder,128x544x1x1
87,convolution,mb1_ic544oc128_ih14oh14kh1sh1dh0ph0_iw14ow14kw1sw1dw0pw0
88,reorder,1x576x14x14
89,reorder,128x576x1x1
90,convolution,mb1_ic576oc128_ih14oh14kh1sh1dh0ph0_iw14ow14kw1sw1dw0pw0
91,reorder,1x608x14x14
92,reorder,128x608x1x1
93,convolution,mb1_ic608oc128_ih14oh14kh1sh1dh0ph0_iw14ow14kw1sw1dw0pw0
94,reorder,1x640x14x14
95,reorder,128x640x1x1
96,convolution,mb1_ic640oc128_ih14oh14kh1sh1dh0ph0_iw14ow14kw1sw1dw0pw0
97,reorder,1x672x14x14
98,reorder,128x672x1x1
